Population	Area
32,863	369
371,366	123
12,289	1041
21,682	1851
48,476	1697
7,389	782
921,999	483
90,063	1198
45,513	647
566,5	273
2,753	222
130363	1364
8,05	540
27,277	2164
52,079	547
12897	111
917759	159
24947	1623
637,935	321
28,621	2079
124,464	3618
142,317	169
524,222	880
33,599	2155
659,603	219
16,033	1105
296,709	45035
422,594	2523
436,897	4201
737,206	2236
592,371	1662
226,229	2964
469,924	1043
269,950	961
176,513	1801
246,110	31036
365,572	3778
226,396	891
257,362	13917
74,975	1,11513
273,658	14809
446,276	1843
957,398	4313
405,845	22842
396,594	1559
487,778	1176
280,299	721
481,983	2509
442,415	1487
474,514	3854
789,633	3754
515,021	5297
726,481	17999
456,861	6242
335,298	17539
200,215	86952
343,318	2914
537,488	363
37,904	78172
266,793	1071
273,608	12363
713,803	4531
520,771	3533
283,657	1159
