China;Asia;1415045928;9388211
India;Asia;1354051854;2973190
U.S.;America;326766748;9147420
Indonesia;Asia;266794980;1811570
Brazil;America;210867954;8358140
Pakistan;Asia;200813818;770880
Nigeria;Africa;195875237;910770
Russia;Asia;143964709;16376870
Mexico;America;130759074;1943950
Japan;Asia;127185332;364555
Egypt;Africa;99375741;995450
Germany;Europe;82293457;348560
Iran;Asia;82011735;1628550
Turkey;Europe;81916871;769630
Thailand;Asia;69183173;510890
U.K.;Europe;66573504;241930
France;Europe;65233271;547557
Italy;Europe;59290969;294140
